cellID	bio_celltype	layer
cell_type1_149	cell_type1	normal
cell_type1_150	cell_type1	disease
cell_type1_151	cell_type1	disease
cell_type1_152	cell_type1	disease
cell_type1_153	cell_type1	disease
cell_type1_154	cell_type1	disease
cell_type1_155	cell_type1	normal
cell_type1_156	cell_type1	disease
cell_type1_157	cell_type1	normal
cell_type1_158	cell_type1	disease
cell_type1_159	cell_type1	disease
cell_type1_160	cell_type1	normal
cell_type1_161	cell_type1	disease
cell_type1_162	cell_type1	disease
cell_type1_163	cell_type1	disease
cell_type1_164	cell_type1	normal
cell_type1_165	cell_type1	normal
cell_type1_166	cell_type1	disease
cell_type1_167	cell_type1	normal
cell_type1_168	cell_type1	disease
cell_type1_169	cell_type1	disease
cell_type1_170	cell_type1	disease
cell_type1_171	cell_type1	disease
cell_type1_172	cell_type1	disease
cell_type1_173	cell_type1	disease
cell_type1_174	cell_type1	disease
cell_type1_175	cell_type1	disease
cell_type1_176	cell_type1	normal
cell_type1_177	cell_type1	disease
cell_type1_178	cell_type1	normal
cell_type1_179	cell_type1	normal
cell_type1_180	cell_type1	disease
cell_type1_181	cell_type1	disease
cell_type1_182	cell_type1	disease
cell_type1_183	cell_type1	disease
cell_type1_184	cell_type1	disease
cell_type1_185	cell_type1	disease
cell_type1_186	cell_type1	normal
cell_type1_187	cell_type1	disease
cell_type1_188	cell_type1	disease
cell_type1_189	cell_type1	disease
cell_type1_190	cell_type1	disease
cell_type1_191	cell_type1	disease
cell_type1_192	cell_type1	normal
cell_type1_193	cell_type1	disease
cell_type1_194	cell_type1	disease
cell_type1_195	cell_type1	normal
cell_type1_196	cell_type1	normal
cell_type1_197	cell_type1	disease
cell_type1_198	cell_type1	disease
cell_type1_199	cell_type1	normal
cell_type1_200	cell_type1	disease
cell_type1_201	cell_type1	disease
cell_type1_202	cell_type1	disease
cell_type1_203	cell_type1	disease
cell_type1_204	cell_type1	normal
cell_type1_205	cell_type1	disease
cell_type1_206	cell_type1	disease
cell_type1_207	cell_type1	disease
cell_type1_208	cell_type1	normal
cell_type1_209	cell_type1	disease
cell_type1_210	cell_type1	normal
cell_type1_211	cell_type1	disease
cell_type1_212	cell_type1	disease
cell_type1_213	cell_type1	disease
cell_type1_214	cell_type1	normal
cell_type1_215	cell_type1	disease
cell_type1_216	cell_type1	normal
cell_type1_217	cell_type1	disease
cell_type1_218	cell_type1	disease
cell_type1_219	cell_type1	normal
cell_type1_220	cell_type1	disease
cell_type1_221	cell_type1	disease
cell_type1_222	cell_type1	disease
cell_type1_223	cell_type1	disease
cell_type1_224	cell_type1	disease
cell_type1_225	cell_type1	disease
cell_type1_226	cell_type1	disease
cell_type1_227	cell_type1	disease
cell_type1_228	cell_type1	disease
cell_type1_229	cell_type1	normal
cell_type1_230	cell_type1	disease
cell_type1_231	cell_type1	normal
cell_type1_232	cell_type1	disease
cell_type1_233	cell_type1	disease
cell_type1_234	cell_type1	disease
cell_type1_235	cell_type1	disease
cell_type1_236	cell_type1	disease
cell_type1_237	cell_type1	disease
cell_type1_238	cell_type1	disease
cell_type1_239	cell_type1	disease
cell_type1_240	cell_type1	disease
cell_type1_241	cell_type1	disease
cell_type1_242	cell_type1	normal
cell_type1_243	cell_type1	normal
cell_type1_244	cell_type1	disease
cell_type1_245	cell_type1	disease
cell_type1_246	cell_type1	disease
cell_type1_247	cell_type1	disease
cell_type1_248	cell_type1	disease
cell_type1_249	cell_type1	disease
cell_type1_250	cell_type1	normal
cell_type1_251	cell_type1	disease
cell_type1_252	cell_type1	disease
cell_type1_253	cell_type1	disease
cell_type1_254	cell_type1	disease
cell_type1_255	cell_type1	disease
cell_type1_256	cell_type1	disease
cell_type1_257	cell_type1	normal
cell_type1_258	cell_type1	disease
cell_type1_259	cell_type1	disease
cell_type1_260	cell_type1	normal
cell_type1_261	cell_type1	normal
cell_type1_262	cell_type1	normal
cell_type1_263	cell_type1	disease
cell_type1_264	cell_type1	disease
cell_type1_265	cell_type1	disease
cell_type1_266	cell_type1	normal
cell_type1_267	cell_type1	disease
cell_type1_268	cell_type1	disease
cell_type1_269	cell_type1	normal
cell_type1_270	cell_type1	disease
cell_type1_271	cell_type1	disease
cell_type1_272	cell_type1	disease
cell_type1_273	cell_type1	normal
cell_type1_274	cell_type1	disease
cell_type1_275	cell_type1	normal
cell_type1_276	cell_type1	normal
cell_type1_277	cell_type1	disease
cell_type1_278	cell_type1	disease
cell_type1_279	cell_type1	disease
cell_type1_280	cell_type1	disease
cell_type1_281	cell_type1	disease
cell_type1_282	cell_type1	disease
cell_type1_283	cell_type1	disease
cell_type1_284	cell_type1	disease
cell_type1_285	cell_type1	normal
cell_type1_286	cell_type1	normal
cell_type1_287	cell_type1	disease
cell_type1_288	cell_type1	normal
cell_type1_289	cell_type1	normal
cell_type1_290	cell_type1	normal
cell_type1_291	cell_type1	normal
cell_type1_292	cell_type1	disease
cell_type1_293	cell_type1	disease
cell_type1_294	cell_type1	disease
cell_type1_295	cell_type1	disease
cell_type1_296	cell_type1	disease
cell_type1_297	cell_type1	normal
cell_type1_298	cell_type1	disease
cell_type1_299	cell_type1	normal
cell_type1_300	cell_type1	disease
cell_type1_301	cell_type1	disease
cell_type1_302	cell_type1	normal
cell_type1_303	cell_type1	normal
cell_type1_304	cell_type1	disease
cell_type1_305	cell_type1	disease
cell_type1_306	cell_type1	disease
cell_type1_307	cell_type1	normal
cell_type1_308	cell_type1	disease
cell_type1_309	cell_type1	disease
cell_type1_310	cell_type1	disease
cell_type1_311	cell_type1	disease
cell_type1_312	cell_type1	normal
cell_type1_313	cell_type1	disease
cell_type1_314	cell_type1	normal
cell_type1_315	cell_type1	disease
cell_type1_316	cell_type1	disease
cell_type1_317	cell_type1	disease
cell_type1_318	cell_type1	normal
cell_type1_319	cell_type1	disease
cell_type1_320	cell_type1	disease
cell_type1_321	cell_type1	normal
cell_type1_322	cell_type1	disease
cell_type1_323	cell_type1	disease
cell_type1_324	cell_type1	disease
cell_type1_325	cell_type1	disease
cell_type1_326	cell_type1	disease
cell_type1_327	cell_type1	disease
cell_type1_328	cell_type1	disease
cell_type1_329	cell_type1	disease
cell_type1_330	cell_type1	disease
cell_type1_331	cell_type1	disease
cell_type1_332	cell_type1	disease
cell_type1_333	cell_type1	normal
cell_type1_334	cell_type1	disease
cell_type1_335	cell_type1	normal
cell_type1_336	cell_type1	disease
cell_type1_337	cell_type1	disease
cell_type1_338	cell_type1	disease
cell_type1_339	cell_type1	disease
cell_type1_340	cell_type1	disease
cell_type1_341	cell_type1	disease
cell_type1_342	cell_type1	disease
cell_type1_343	cell_type1	normal
cell_type1_344	cell_type1	disease
cell_type1_345	cell_type1	disease
cell_type1_346	cell_type1	disease
cell_type1_347	cell_type1	normal
cell_type1_348	cell_type1	disease
cell_type1_349	cell_type1	normal
cell_type1_350	cell_type1	disease
cell_type1_351	cell_type1	normal
cell_type1_352	cell_type1	normal
cell_type1_353	cell_type1	disease
cell_type1_354	cell_type1	disease
cell_type1_355	cell_type1	normal
cell_type1_356	cell_type1	disease
cell_type1_357	cell_type1	normal
cell_type1_358	cell_type1	normal
cell_type1_359	cell_type1	normal
cell_type1_360	cell_type1	normal
cell_type1_361	cell_type1	disease
cell_type1_362	cell_type1	disease
cell_type1_363	cell_type1	disease
cell_type1_364	cell_type1	normal
cell_type1_365	cell_type1	normal
cell_type1_366	cell_type1	disease
cell_type1_367	cell_type1	disease
cell_type1_368	cell_type1	normal
cell_type1_369	cell_type1	disease
cell_type1_370	cell_type1	disease
cell_type1_371	cell_type1	disease
cell_type1_372	cell_type1	disease
cell_type1_373	cell_type1	disease
cell_type1_374	cell_type1	disease
cell_type1_375	cell_type1	disease
cell_type1_376	cell_type1	disease
cell_type1_377	cell_type1	normal
cell_type1_378	cell_type1	disease
cell_type1_379	cell_type1	disease
cell_type1_380	cell_type1	disease
cell_type1_381	cell_type1	disease
cell_type1_382	cell_type1	disease
cell_type1_383	cell_type1	disease
cell_type1_384	cell_type1	disease
cell_type1_385	cell_type1	disease
cell_type1_386	cell_type1	disease
cell_type1_387	cell_type1	normal
cell_type1_388	cell_type1	normal
cell_type1_389	cell_type1	disease
cell_type1_390	cell_type1	disease
cell_type1_391	cell_type1	disease
cell_type1_392	cell_type1	disease
cell_type1_393	cell_type1	disease
cell_type1_394	cell_type1	normal
cell_type1_395	cell_type1	disease
cell_type1_396	cell_type1	disease
cell_type1_397	cell_type1	disease
cell_type1_398	cell_type1	disease
cell_type1_399	cell_type1	disease
cell_type1_400	cell_type1	disease
cell_type1_401	cell_type1	disease
cell_type1_402	cell_type1	normal
cell_type1_403	cell_type1	disease
cell_type1_404	cell_type1	disease
cell_type1_405	cell_type1	disease
cell_type1_406	cell_type1	normal
cell_type1_407	cell_type1	disease
cell_type1_408	cell_type1	normal
cell_type1_409	cell_type1	disease
cell_type1_410	cell_type1	disease
cell_type1_411	cell_type1	normal
cell_type1_412	cell_type1	disease
cell_type1_413	cell_type1	disease
cell_type1_414	cell_type1	normal
cell_type1_415	cell_type1	normal
cell_type1_416	cell_type1	disease
cell_type1_417	cell_type1	disease
cell_type1_418	cell_type1	disease
cell_type1_419	cell_type1	disease
cell_type1_420	cell_type1	disease
cell_type1_421	cell_type1	disease
cell_type1_422	cell_type1	disease
cell_type1_423	cell_type1	disease
cell_type1_424	cell_type1	normal
cell_type1_425	cell_type1	disease
cell_type1_426	cell_type1	disease
cell_type1_427	cell_type1	disease
cell_type1_428	cell_type1	normal
cell_type1_429	cell_type1	disease
cell_type1_430	cell_type1	disease
cell_type1_431	cell_type1	normal
cell_type1_432	cell_type1	disease
cell_type1_433	cell_type1	normal
cell_type1_434	cell_type1	disease
cell_type1_435	cell_type1	disease
cell_type1_436	cell_type1	disease
cell_type1_437	cell_type1	normal
cell_type1_438	cell_type1	normal
cell_type1_439	cell_type1	disease
cell_type1_440	cell_type1	disease
cell_type1_441	cell_type1	disease
cell_type1_442	cell_type1	disease
cell_type1_443	cell_type1	disease
cell_type1_444	cell_type1	disease
cell_type1_445	cell_type1	disease
cell_type1_446	cell_type1	disease
cell_type1_447	cell_type1	normal
cell_type1_448	cell_type1	disease
cell_type1_449	cell_type1	normal
cell_type1_450	cell_type1	disease
cell_type1_451	cell_type1	normal
cell_type1_452	cell_type1	disease
cell_type1_453	cell_type1	normal
cell_type1_454	cell_type1	disease
cell_type1_455	cell_type1	normal
cell_type1_456	cell_type1	normal
cell_type1_457	cell_type1	disease
cell_type1_458	cell_type1	normal
cell_type1_459	cell_type1	normal
cell_type1_460	cell_type1	disease
cell_type1_461	cell_type1	disease
cell_type1_462	cell_type1	disease
cell_type1_463	cell_type1	disease
cell_type1_464	cell_type1	disease
cell_type1_465	cell_type1	normal
cell_type1_466	cell_type1	disease
cell_type1_467	cell_type1	normal
cell_type1_468	cell_type1	disease
cell_type1_469	cell_type1	disease
cell_type1_470	cell_type1	disease
cell_type1_471	cell_type1	disease
cell_type1_472	cell_type1	normal
cell_type1_473	cell_type1	normal
cell_type1_474	cell_type1	disease
cell_type1_475	cell_type1	normal
cell_type1_476	cell_type1	normal
cell_type1_477	cell_type1	disease
cell_type1_478	cell_type1	normal
cell_type1_479	cell_type1	disease
cell_type1_480	cell_type1	disease
cell_type1_481	cell_type1	normal
cell_type1_482	cell_type1	normal
cell_type1_483	cell_type1	normal
cell_type1_484	cell_type1	disease
cell_type1_485	cell_type1	disease
cell_type1_486	cell_type1	disease
cell_type1_487	cell_type1	normal
cell_type1_488	cell_type1	normal
cell_type1_489	cell_type1	disease
cell_type1_490	cell_type1	disease
cell_type1_491	cell_type1	disease
cell_type1_492	cell_type1	normal
cell_type1_493	cell_type1	disease
cell_type1_494	cell_type1	disease
cell_type1_495	cell_type1	disease
cell_type1_496	cell_type1	disease
cell_type1_497	cell_type1	disease
cell_type1_498	cell_type1	disease
cell_type1_499	cell_type1	disease
cell_type1_500	cell_type1	disease
cell_type1_501	cell_type1	normal
cell_type1_502	cell_type1	disease
cell_type1_503	cell_type1	disease
cell_type1_504	cell_type1	disease
cell_type1_505	cell_type1	disease
cell_type1_506	cell_type1	disease
cell_type1_507	cell_type1	disease
cell_type1_508	cell_type1	disease
cell_type1_509	cell_type1	disease
cell_type1_510	cell_type1	normal
cell_type1_511	cell_type1	disease
cell_type1_512	cell_type1	disease
cell_type1_513	cell_type1	normal
cell_type1_514	cell_type1	disease
cell_type1_515	cell_type1	disease
cell_type1_516	cell_type1	disease
cell_type1_517	cell_type1	normal
cell_type1_518	cell_type1	disease
cell_type1_519	cell_type1	disease
cell_type1_520	cell_type1	disease
cell_type1_521	cell_type1	disease
cell_type1_522	cell_type1	disease
cell_type1_523	cell_type1	normal
cell_type1_524	cell_type1	disease
cell_type1_525	cell_type1	normal
cell_type1_526	cell_type1	normal
cell_type1_527	cell_type1	disease
cell_type1_528	cell_type1	disease
cell_type1_529	cell_type1	disease
cell_type1_530	cell_type1	disease
cell_type1_531	cell_type1	disease
cell_type1_532	cell_type1	disease
cell_type1_533	cell_type1	disease
cell_type1_534	cell_type1	disease
cell_type1_535	cell_type1	normal
cell_type1_536	cell_type1	disease
cell_type1_537	cell_type1	normal
cell_type1_538	cell_type1	disease
cell_type1_539	cell_type1	disease
cell_type1_540	cell_type1	normal
cell_type1_541	cell_type1	disease
cell_type1_542	cell_type1	normal
cell_type1_543	cell_type1	disease
cell_type1_544	cell_type1	disease
cell_type1_545	cell_type1	disease
cell_type1_546	cell_type1	normal
cell_type1_547	cell_type1	normal
cell_type1_548	cell_type1	disease
cell_type1_549	cell_type1	disease
cell_type1_550	cell_type1	normal
cell_type1_551	cell_type1	normal
cell_type1_552	cell_type1	disease
cell_type1_553	cell_type1	disease
cell_type1_554	cell_type1	normal
cell_type1_555	cell_type1	disease
cell_type1_556	cell_type1	disease
cell_type1_557	cell_type1	disease
cell_type1_558	cell_type1	disease
cell_type1_559	cell_type1	disease
cell_type1_560	cell_type1	disease
cell_type1_561	cell_type1	disease
cell_type1_562	cell_type1	normal
cell_type1_563	cell_type1	disease
cell_type1_564	cell_type1	disease
cell_type1_565	cell_type1	disease
cell_type1_566	cell_type1	disease
cell_type1_567	cell_type1	disease
cell_type1_568	cell_type1	disease
cell_type1_569	cell_type1	disease
cell_type1_570	cell_type1	disease
cell_type1_571	cell_type1	normal
cell_type1_572	cell_type1	disease
cell_type1_573	cell_type1	normal
cell_type1_574	cell_type1	disease
cell_type1_575	cell_type1	disease
cell_type1_576	cell_type1	normal
cell_type1_577	cell_type1	disease
cell_type1_578	cell_type1	normal
cell_type1_579	cell_type1	disease
cell_type1_580	cell_type1	normal
cell_type1_581	cell_type1	disease
cell_type1_582	cell_type1	normal
cell_type1_583	cell_type1	disease
cell_type1_584	cell_type1	disease
cell_type1_585	cell_type1	disease
cell_type1_586	cell_type1	normal
cell_type1_587	cell_type1	disease
cell_type1_588	cell_type1	disease
cell_type1_589	cell_type1	normal
cell_type1_590	cell_type1	normal
cell_type1_591	cell_type1	disease
cell_type1_592	cell_type1	disease
cell_type1_593	cell_type1	disease
cell_type1_594	cell_type1	disease
cell_type1_595	cell_type1	disease
cell_type1_596	cell_type1	normal
cell_type1_597	cell_type1	normal
cell_type1_598	cell_type1	disease
cell_type1_599	cell_type1	normal
cell_type1_600	cell_type1	normal
cell_type1_601	cell_type1	normal
cell_type1_602	cell_type1	disease
cell_type1_603	cell_type1	normal
cell_type1_604	cell_type1	disease
cell_type1_605	cell_type1	disease
cell_type1_606	cell_type1	disease
cell_type1_607	cell_type1	disease
cell_type1_608	cell_type1	normal
cell_type1_609	cell_type1	disease
cell_type1_610	cell_type1	disease
cell_type1_611	cell_type1	normal
cell_type1_612	cell_type1	disease
cell_type1_613	cell_type1	disease
cell_type1_614	cell_type1	normal
cell_type2_1	cell_type2	disease
cell_type2_2	cell_type2	disease
cell_type2_3	cell_type2	disease
cell_type2_4	cell_type2	disease
cell_type2_5	cell_type2	normal
cell_type2_6	cell_type2	disease
cell_type2_7	cell_type2	disease
cell_type2_8	cell_type2	disease
cell_type2_9	cell_type2	disease
cell_type2_10	cell_type2	disease
cell_type2_11	cell_type2	disease
cell_type2_12	cell_type2	disease
cell_type2_13	cell_type2	disease
cell_type2_14	cell_type2	disease
cell_type2_15	cell_type2	disease
cell_type2_16	cell_type2	normal
cell_type2_17	cell_type2	disease
cell_type2_18	cell_type2	disease
cell_type2_19	cell_type2	disease
cell_type2_20	cell_type2	disease
cell_type2_21	cell_type2	disease
cell_type2_22	cell_type2	disease
cell_type2_23	cell_type2	disease
cell_type2_24	cell_type2	disease
cell_type2_25	cell_type2	normal
cell_type2_26	cell_type2	disease
cell_type2_27	cell_type2	disease
cell_type2_28	cell_type2	disease
cell_type2_29	cell_type2	normal
cell_type2_30	cell_type2	normal
cell_type2_31	cell_type2	normal
cell_type2_32	cell_type2	normal
cell_type2_33	cell_type2	disease
cell_type2_34	cell_type2	disease
cell_type2_35	cell_type2	disease
cell_type2_36	cell_type2	normal
cell_type2_37	cell_type2	disease
cell_type2_38	cell_type2	disease
cell_type2_39	cell_type2	disease
cell_type2_40	cell_type2	disease
cell_type2_41	cell_type2	disease
cell_type2_42	cell_type2	disease
cell_type2_43	cell_type2	disease
cell_type2_44	cell_type2	disease
cell_type2_45	cell_type2	disease
cell_type2_46	cell_type2	normal
cell_type2_47	cell_type2	normal
cell_type2_48	cell_type2	disease
cell_type2_49	cell_type2	disease
cell_type2_50	cell_type2	normal
cell_type2_51	cell_type2	disease
cell_type2_52	cell_type2	normal
cell_type2_53	cell_type2	disease
cell_type2_54	cell_type2	disease
cell_type2_55	cell_type2	disease
cell_type2_56	cell_type2	disease
cell_type2_57	cell_type2	disease
cell_type2_58	cell_type2	disease
cell_type2_59	cell_type2	normal
cell_type2_60	cell_type2	disease
cell_type2_61	cell_type2	disease
cell_type2_62	cell_type2	normal
cell_type2_63	cell_type2	normal
cell_type2_64	cell_type2	disease
cell_type2_65	cell_type2	disease
cell_type2_66	cell_type2	normal
cell_type2_67	cell_type2	disease
cell_type2_68	cell_type2	disease
cell_type2_69	cell_type2	disease
cell_type2_70	cell_type2	normal
cell_type2_71	cell_type2	normal
cell_type2_72	cell_type2	normal
cell_type2_73	cell_type2	disease
cell_type2_74	cell_type2	disease
cell_type2_75	cell_type2	disease
cell_type2_76	cell_type2	disease
cell_type2_77	cell_type2	disease
cell_type2_78	cell_type2	normal
cell_type2_79	cell_type2	disease
cell_type2_80	cell_type2	disease
cell_type2_81	cell_type2	disease
cell_type2_82	cell_type2	disease
cell_type2_83	cell_type2	disease
cell_type2_84	cell_type2	disease
cell_type2_85	cell_type2	normal
cell_type2_86	cell_type2	disease
cell_type2_87	cell_type2	disease
cell_type2_88	cell_type2	disease
cell_type2_89	cell_type2	disease
cell_type2_90	cell_type2	disease
cell_type2_91	cell_type2	normal
cell_type2_92	cell_type2	disease
cell_type2_93	cell_type2	disease
cell_type2_94	cell_type2	normal
cell_type2_95	cell_type2	normal
cell_type2_96	cell_type2	disease
cell_type2_97	cell_type2	disease
cell_type2_98	cell_type2	disease
cell_type2_99	cell_type2	normal
cell_type2_100	cell_type2	disease
cell_type2_101	cell_type2	disease
cell_type2_102	cell_type2	normal
cell_type2_103	cell_type2	disease
cell_type2_104	cell_type2	normal
cell_type2_105	cell_type2	normal
cell_type2_106	cell_type2	disease
cell_type2_107	cell_type2	disease
cell_type2_108	cell_type2	normal
cell_type2_109	cell_type2	normal
cell_type2_110	cell_type2	normal
cell_type2_111	cell_type2	disease
cell_type2_112	cell_type2	disease
cell_type2_113	cell_type2	normal
cell_type2_114	cell_type2	disease
cell_type2_115	cell_type2	disease
cell_type2_116	cell_type2	normal
cell_type2_117	cell_type2	disease
cell_type2_118	cell_type2	normal
cell_type2_119	cell_type2	disease
cell_type2_120	cell_type2	disease
cell_type2_121	cell_type2	normal
cell_type2_122	cell_type2	disease
cell_type2_123	cell_type2	disease
cell_type2_124	cell_type2	disease
cell_type2_125	cell_type2	disease
cell_type2_126	cell_type2	normal
cell_type2_127	cell_type2	disease
cell_type2_128	cell_type2	disease
cell_type2_129	cell_type2	disease
cell_type2_130	cell_type2	disease
cell_type2_131	cell_type2	disease
cell_type2_132	cell_type2	normal
cell_type2_133	cell_type2	disease
cell_type2_134	cell_type2	normal
cell_type2_135	cell_type2	normal
cell_type2_136	cell_type2	normal
cell_type2_137	cell_type2	disease
cell_type2_138	cell_type2	normal
cell_type2_139	cell_type2	disease
cell_type2_140	cell_type2	normal
cell_type2_141	cell_type2	normal
cell_type2_142	cell_type2	disease
cell_type2_143	cell_type2	normal
cell_type2_144	cell_type2	disease
cell_type2_145	cell_type2	disease
cell_type2_146	cell_type2	disease
cell_type2_147	cell_type2	disease
cell_type2_148	cell_type2	normal
cell_type2_149	cell_type2	disease
cell_type2_150	cell_type2	normal
cell_type2_151	cell_type2	disease
cell_type2_152	cell_type2	normal
cell_type2_153	cell_type2	disease
cell_type2_154	cell_type2	disease
cell_type2_155	cell_type2	disease
cell_type2_156	cell_type2	disease
cell_type2_157	cell_type2	normal
cell_type2_158	cell_type2	disease
cell_type2_159	cell_type2	disease
cell_type2_160	cell_type2	disease
cell_type2_161	cell_type2	normal
cell_type2_162	cell_type2	normal
cell_type2_163	cell_type2	disease
cell_type2_164	cell_type2	disease
cell_type2_165	cell_type2	normal
cell_type2_166	cell_type2	disease
cell_type2_167	cell_type2	disease
cell_type2_168	cell_type2	disease
cell_type2_169	cell_type2	disease
cell_type2_170	cell_type2	disease
cell_type2_171	cell_type2	disease
cell_type2_172	cell_type2	normal
cell_type2_173	cell_type2	disease
cell_type2_174	cell_type2	disease
cell_type2_175	cell_type2	disease
cell_type2_176	cell_type2	disease
cell_type2_177	cell_type2	normal
cell_type2_178	cell_type2	disease
cell_type2_179	cell_type2	disease
cell_type2_180	cell_type2	disease
cell_type2_181	cell_type2	disease
cell_type2_182	cell_type2	disease
cell_type2_183	cell_type2	disease
cell_type2_184	cell_type2	disease
cell_type2_185	cell_type2	disease
cell_type2_186	cell_type2	normal
cell_type2_187	cell_type2	disease
cell_type2_188	cell_type2	disease
cell_type2_189	cell_type2	disease
cell_type2_190	cell_type2	disease
cell_type2_191	cell_type2	disease
cell_type2_192	cell_type2	disease
cell_type2_193	cell_type2	normal
cell_type2_194	cell_type2	disease
cell_type2_195	cell_type2	disease
cell_type2_196	cell_type2	normal
cell_type2_197	cell_type2	disease
cell_type2_198	cell_type2	disease
cell_type2_199	cell_type2	disease
cell_type2_200	cell_type2	normal
cell_type2_201	cell_type2	disease
cell_type2_202	cell_type2	normal
cell_type2_203	cell_type2	disease
cell_type2_204	cell_type2	disease
cell_type2_205	cell_type2	disease
cell_type2_206	cell_type2	disease
cell_type2_207	cell_type2	disease
