"cell_type1"	"cell_type2"	"cell_type3"	"cell_type4"	"cell_type5"	"cell_type6"
"normal_spot90"	11	14	12	13	11	10
"normal_spot91"	11	15	16	12	10	11
"normal_spot92"	11	12	16	14	12	16
"normal_spot93"	14	16	11	13	15	10
"normal_spot94"	10	10	14	11	10	15
"normal_spot95"	15	10	16	16	15	12
"normal_spot96"	12	11	13	12	10	14
"normal_spot97"	10	16	12	10	12	12
"normal_spot98"	10	13	16	15	11	16
"normal_spot99"	15	12	13	14	10	15
"normal_spot100"	11	13	16	10	16	13
"normal_spot101"	14	11	13	12	10	15
"normal_spot102"	15	13	14	11	10	16
"normal_spot103"	15	16	14	15	12	14
"normal_spot104"	11	11	14	10	10	10
"normal_spot105"	14	12	10	11	12	11
"normal_spot106"	16	15	11	10	10	10
"normal_spot107"	12	12	14	16	16	15
"normal_spot108"	13	15	15	14	11	15
"normal_spot109"	13	10	15	12	11	13
"normal_spot110"	10	15	11	11	12	16
"normal_spot111"	14	12	14	15	11	14
"normal_spot112"	12	10	15	12	14	16
"normal_spot113"	16	12	11	10	12	15
"normal_spot114"	16	16	15	12	15	12
"normal_spot115"	10	12	11	12	11	13
"normal_spot116"	16	13	16	12	13	15
"normal_spot117"	16	14	11	13	13	11
"normal_spot118"	16	11	14	16	15	13
"normal_spot119"	12	14	15	13	16	14
"normal_spot120"	13	15	12	13	11	15
"normal_spot121"	14	13	10	10	15	14
"normal_spot122"	13	13	15	10	14	15
"normal_spot123"	15	10	13	11	12	16
"normal_spot124"	13	13	15	16	16	14
"normal_spot125"	15	13	11	11	11	15
"normal_spot126"	12	12	11	11	14	13
"normal_spot127"	10	10	10	13	15	11
"normal_spot128"	11	15	10	14	12	12
"normal_spot129"	16	15	16	16	12	12
"normal_spot130"	12	15	16	16	16	14
"normal_spot131"	10	14	14	10	16	15
"normal_spot132"	13	16	10	11	13	15
"normal_spot133"	16	13	11	11	15	16
"normal_spot134"	15	12	12	16	14	11
"normal_spot135"	14	15	10	12	15	13
"normal_spot136"	12	12	13	13	11	13
"normal_spot137"	16	15	15	15	15	12
"normal_spot138"	13	12	15	16	14	11
"normal_spot139"	12	16	11	13	15	12
"normal_spot140"	15	16	13	10	13	11
"normal_spot141"	10	16	15	15	14	15
"normal_spot142"	10	10	11	11	10	13
"normal_spot143"	16	14	15	11	14	10
"normal_spot144"	14	12	10	16	12	10
"normal_spot145"	10	14	10	11	15	11
"normal_spot146"	10	16	12	14	11	14
"normal_spot147"	11	13	15	10	10	16
"normal_spot148"	15	16	16	12	11	16
"normal_spot149"	14	11	12	12	11	14
"normal_spot150"	15	10	16	11	13	14
